,domain,phylum,class,order,family,genus,species
OTU_851,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,unclassified
OTU_840,Bacteria,Firmicutes,unclassified_Firmicutes,unclassified_Firmicutes,unclassified_Firmicutes,unclassified_Firmicutes,unclassified
OTU_643,Bacteria,unclassified_Bacteria,unclassified_Bacteria,unclassified_Bacteria,unclassified_Bacteria,unclassified_Bacteria,unclassified
OTU_208,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,unclassified
OTU_495,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Anaeroglobus,unclassified
OTU_716,Bacteria,unclassified_Bacteria,unclassified_Bacteria,unclassified_Bacteria,unclassified_Bacteria,unclassified_Bacteria,unclassified
OTU_1125,Bacteria,unclassified_Bacteria,unclassified_Bacteria,unclassified_Bacteria,unclassified_Bacteria,unclassified_Bacteria,unclassified
OTU_849,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Dialister,unclassified
OTU_360,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,unclassified_Veillonellaceae,unclassified
OTU_199,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales_Incertae Sedis XI,unclassified_Clostridiales_Incertae Sedis XI,unclassified
OTU_842,Bacteria,Chlamydiae,Chlamydiia,Chlamydiales,Chlamydiaceae,Chlamydia,Chlamydia_trachomatis
OTU_369,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,unclassified_Veillonellaceae,unclassified
OTU_839,Bacteria,unclassified_Bacteria,unclassified_Bacteria,unclassified_Bacteria,unclassified_Bacteria,unclassified_Bacteria,unclassified
OTU_1127,Bacteria,unclassified_Bacteria,unclassified_Bacteria,unclassified_Bacteria,unclassified_Bacteria,unclassified_Bacteria,unclassified
OTU_1128,Bacteria,unclassified_Bacteria,unclassified_Bacteria,unclassified_Bacteria,unclassified_Bacteria,unclassified_Bacteria,unclassified
OTU_1189,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Dialister,unclassified
OTU_485,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella_buccalis
OTU_1126,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,unclassified_Veillonellaceae,unclassified
OTU_1132,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,unclassified
OTU_724,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,unclassified_Veillonellaceae,unclassified
OTU_179,Bacteria,unclassified_Bacteria,unclassified_Bacteria,unclassified_Bacteria,unclassified_Bacteria,unclassified_Bacteria,unclassified
OTU_864,Bacteria,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Aerococcus,unclassified
OTU_1152,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,unclassified_Veillonellaceae,unclassified
OTU_641,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,unclassified_Veillonellaceae,unclassified
OTU_718,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,unclassified_Veillonellaceae,unclassified
OTU_726,Bacteria,Firmicutes,unclassified_Firmicutes,unclassified_Firmicutes,unclassified_Firmicutes,unclassified_Firmicutes,unclassified
OTU_553,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,unclassified_Veillonellaceae,unclassified
OTU_1219,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,"unclassified_""Prevotellaceae""",unclassified
OTU_874,Bacteria,unclassified_Bacteria,unclassified_Bacteria,unclassified_Bacteria,unclassified_Bacteria,unclassified_Bacteria,unclassified
OTU_459,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella_timonensis
OTU_734,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,unclassified_Veillonellaceae,unclassified
OTU_1204,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,unclassified_Bifidobacteriaceae,unclassified
OTU_80,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Dialister,Dialister_micraerophilus
OTU_161,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Methylobacterium,Methylobacterium_jeotgali
OTU_1181,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,unclassified_Burkholderiales,unclassified_Burkholderiales,unclassified
OTU_134,Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Ureaplasma,Ureaplasma_parvum
OTU_60,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,unclassified
OTU_389,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,unclassified_Pseudomonadaceae,unclassified
OTU_1134,Bacteria,unclassified_Bacteria,unclassified_Bacteria,unclassified_Bacteria,unclassified_Bacteria,unclassified_Bacteria,unclassified
OTU_195,Bacteria,Synergistetes,Synergistia,Synergistales,Synergistaceae,Jonquetella,Jonquetella_anthropi
OTU_269,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella_corporis
OTU_645,Bacteria,Chloroflexi,Ktedonobacteria,Ktedonobacterales,Ktedonobacteraceae,Ktedonobacter,unclassified
OTU_1136,Bacteria,Proteobacteria,Deltaproteobacteria,unclassified_Deltaproteobacteria,unclassified_Deltaproteobacteria,unclassified_Deltaproteobacteria,unclassified
OTU_845,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,Rhizobium_flavum
OTU_1133,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanosphaera,Methanosphaera_stadtmanae
OTU_722,Bacteria,Firmicutes,Clostridia,Clostridiales,unclassified_Clostridiales,unclassified_Clostridiales,unclassified
OTU_1137,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,unclassified_Phyllobacteriaceae,unclassified
OTU_1138,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Altererythrobacter,unclassified
OTU_1215,Bacteria,Firmicutes,unclassified_Firmicutes,unclassified_Firmicutes,unclassified_Firmicutes,unclassified_Firmicutes,unclassified
OTU_870,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,unclassified_Veillonellaceae,unclassified
OTU_223,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,unclassified_Actinomycetales,unclassified_Actinomycetales,unclassified
OTU_295,Bacteria,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Atopobium,Atopobium_vaginae
OTU_1151,Bacteria,Firmicutes,Clostridia,unclassified_Clostridia,unclassified_Clostridia,unclassified_Clostridia,unclassified
OTU_876,Bacteria,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,unclassified_Coriobacteriaceae,unclassified
OTU_520,Bacteria,Firmicutes,Clostridia,Clostridiales,unclassified_Clostridiales,unclassified_Clostridiales,unclassified
OTU_1144,Bacteria,Firmicutes,unclassified_Firmicutes,unclassified_Firmicutes,unclassified_Firmicutes,unclassified_Firmicutes,unclassified
OTU_1141,Bacteria,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Atopobium,Atopobium_vaginae
